osm_id;ort;plz;bundesland;eintrag
548034;Anschau;56729;Rheinland-Pfalz;Weltklasse
936943;Antdorf;82387;Bayern;Weltklasse
418326;Antrifttal;36326;Hessen;Weltklasse
1060412;Antweiler;53533;Rheinland-Pfalz;Weltklasse
929824;Anzing;85646;Bayern;Weltklasse
1176599;Apelern;31552;Niedersachsen;Weltklasse
1187347;Apen;26689;Niedersachsen;Weltklasse
1285614;Apenburg-Winterfeld;38486;Sachsen-Anhalt;Weltklasse
446434;Apensen;21641;Niedersachsen;Weltklasse
932427;Apfeldorf;86974;Bayern;Weltklasse
957119;Apfeltrach;87742;Bayern;Weltklasse
2856439;Apolda;99510;Thüringen;Weltklasse
278581;Appel;21279;Niedersachsen;Weltklasse
443484;Appen;25482;Schleswig-Holstein;Weltklasse
1245804;Appenheim;55437;Rheinland-Pfalz;Weltklasse
452982;Appenweier;77767;Baden-Württemberg;Weltklasse
1075157;Arbach;56769;Rheinland-Pfalz;Weltklasse
534392;Arberg;91722;Bayern;Weltklasse
1060418;Aremberg;53533;Rheinland-Pfalz;Weltklasse
1285588;Arendsee (Altmark);39619;Sachsen-Anhalt;Weltklasse
1259126;Arenrath;54518;Rheinland-Pfalz;Weltklasse
2395853;Arenshausen;37318;Thüringen;Weltklasse
943712;Aresing;86561;Bayern;Weltklasse
548036;Arft;56729;Rheinland-Pfalz;Weltklasse
2806737;Argenbühl;88260;Baden-Württemberg;Weltklasse
1244212;Argenschwang;55595;Rheinland-Pfalz;Weltklasse
1241484;Argenthal;55496;Rheinland-Pfalz;Weltklasse
2011073;Arholzen;37627;Niedersachsen;Weltklasse
423046;Arkebek;25767;Schleswig-Holstein;Weltklasse
1405506;Arlewatt;25860;Schleswig-Holstein;Weltklasse
1248409;Armsheim;55288;Rheinland-Pfalz;Weltklasse
423191;Armstedt;24616;Schleswig-Holstein;Weltklasse
1527157;Armstorf;21769;Niedersachsen;Weltklasse
959155;Arnbruck;93471;Bayern;Weltklasse
1284740;Arneburg;39596;Sachsen-Anhalt;Weltklasse
1145353;Arnis;24399;Schleswig-Holstein;Weltklasse
157396;Arnsberg;59755;Nordrhein-Westfalen;Weltklasse
157396;Arnsberg;59757;Nordrhein-Westfalen;Weltklasse
157396;Arnsberg;59759;Nordrhein-Westfalen;Weltklasse
157396;Arnsberg;59821;Nordrhein-Westfalen;Weltklasse
157396;Arnsberg;59823;Nordrhein-Westfalen;Weltklasse
959922;Arnschwang;93473;Bayern;Weltklasse
1307625;Arnsdorf;01477;Sachsen;Weltklasse
534472;Arnshöfen;56244;Rheinland-Pfalz;Weltklasse
393582;Arnstadt;99310;Thüringen;Weltklasse
336476;Arnstein;97450;Bayern;Weltklasse
2408603;Arnstein;06333;Sachsen-Anhalt;Weltklasse
